"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24","LD25","LD26","LD27","LD28","LD29","LD30","LD31","LD32","LD33","LD34","LD35"
"Speothos_venaticus",-1.22997110022555,-5.29001923730916,-1.21524228262484,-0.807727623148313,2.76424599965584,3.28500667211023,-0.619262346023495,1.73049729218725,-2.26947822559904,0.194297875819641,-0.48026564179528,-2.23702502621132,-0.428292255429996,-2.89687963759254,0.295647162295637,-1.60566179476131,1.28434259644029,-0.778254623980339,0.222441972871986,0.116082606669277,-0.620237311065116,-0.935551842323708,-0.410692689121856,1.11486998511749,1.39646118139562,0.18058755080991,-1.16298592654182,1.64213015703243,-1.62082979902564,1.1933012861704,-0.541534307257041,0.647424296463118,1.10606472421074,0.275980239458661,-0.424122010688554
"Urocyon_cinereoargenteus",-4.30936200659522,-6.73595274579676,-2.29181004046914,2.32922081237948,-1.71155162254886,3.46124810144201,0.0759359534364369,0.24634021306037,0.231814017190594,1.77352942100822,-2.09931242552954,-1.69208314563851,0.329315070352385,-0.121170807139362,0.240590972954187,-1.26876172969878,0.303354014739422,0.851888493471971,-0.279235957422577,0.73685498784491,-0.355440183414779,-1.3088911972382,-0.417339071136305,-0.398507300889172,-0.142151108548624,1.16517447601903,-0.26143366161818,-0.0892584558135007,-0.801377033553461,0.126216637546948,0.0398841847211463,-0.0176909968003893,0.0631854728443627,-0.565034510518853,0.582628730590069
"Urocyon_littoralis",-6.10662955380566,-4.6038182352234,-1.72581359775955,2.36649817129894,-0.513666084587026,2.92258241150521,0.494092508800194,0.768451332852883,-0.108166410430154,2.02833746689686,-1.664015900782,-1.28084766364052,0.361706409524805,0.125553130713039,0.978708543971257,-0.815197639712397,0.328680418962908,0.585229196557558,0.144994238425064,1.1283796296669,-0.336778666780883,-0.772233388431371,-0.402829695423576,-0.923445741402348,-0.222669004756991,0.999076266066733,-0.457110659020356,-0.0486180612440726,-0.746258446771843,-0.508043790018109,-0.444822634182704,-0.0314363446681227,-0.0320546632378381,-0.358310719581339,0.612777993795342
"Vulpes_chama",-3.96306824536205,-6.21479731236896,-2.52161772933218,2.81126752388735,0.249783268171972,4.1220343656608,-0.445470911265451,-0.29247874027208,-0.560915734372712,1.16345613316442,-1.1818054191605,-1.16660121160638,0.897959335506735,-0.675595091972893,-0.459639026340063,-0.767838472746271,0.262563163153419,0.564372528176135,-0.389576161055533,0.981095787259814,0.764682010694365,-1.36608796094598,0.609880878604564,0.0204081940279336,-0.246093079977203,-0.354886092157309,0.189308428015986,0.0647192839127194,-0.157273002765301,-0.303567964383675,0.69717297230306,-0.152384284028006,0.012347093652198,-0.00423515740531191,0.30462682586631
"Vulpes_lagopus",-3.27514340814406,-8.29482617098137,-3.07458973371443,3.60678915992454,1.8215748939471,2.70008662985528,-0.0310628291092391,-0.184754740792469,0.285048780845337,1.01122912795194,-0.444397209833673,0.321803503795724,0.659450605077897,-0.233363150405307,-1.0412196554617,-0.0231834569665478,0.358486079071688,-0.340031157018968,1.79914476402188,-1.19149680520626,0.218884422045558,-0.0170402724105209,0.817378546877006,-0.880729387655843,-0.0143160927430728,-0.748356895789859,0.252313479776771,-0.487361027805101,0.559065921373108,0.263761697603129,0.199233479124221,-0.0556109950355546,-0.323886683585877,0.241875863565868,-0.209533091886723
"Vulpes_macrotis",-5.02290696198,-7.76149195393685,-3.12595087455154,4.46161439436876,0.134581467760714,3.81301520251322,1.20162363148469,0.272959721610287,-0.318848470528218,0.678438383385374,-1.78390477572295,-0.579509581089311,1.40198108436814,-0.587143008505397,-0.911423015817953,-0.949038491595236,0.37222558049807,0.257366655749508,1.01155476511746,0.504766217174031,0.672711011931838,-0.694967033124446,-0.119025164986033,-0.639232876005254,-0.211291588172907,-0.869727097705289,-0.530891824328459,-0.183444980419706,-0.401182398260866,-0.43211825257125,0.312788267359138,-0.453890583166526,0.538884007353654,-0.0487137994481495,0.465713973091828
"Vulpes_rueppellii",-5.87530757684566,-6.41799048265953,-3.4255072735925,4.24415830948417,0.537581511520604,3.48768012035648,0.571476984101809,-0.0604562006751308,-0.523614597847992,0.175142967223801,-1.44596862201038,-1.26459590447659,1.1190124908022,-0.536822507351443,-0.619353073621954,-1.04565445626301,-0.072608252635612,0.370689594071909,0.179739399180736,0.952207574097693,0.761284027173898,-0.550051919236667,0.0745310880038224,-0.33503465326868,-0.342873065515795,-0.341200498866059,0.108955486463458,-0.69072919538501,-0.416245665070152,-0.00284139625750635,0.467004222876372,-0.143151671158773,0.277138570760738,-0.411048786318354,0.364801159584539
"Vulpes_velox",-5.18073662516729,-8.37477906390292,-3.76732580020261,4.56414764502996,1.83901856420369,3.81941692054802,0.469935443637468,-0.141636304559705,0.806158785387354,0.895009862843362,-0.175814154575801,-0.398509065366454,1.42390773921431,-0.215234943424423,-1.01707921989158,-1.57369047207074,0.248923429717749,0.34603956343296,0.883045032290073,-1.07474937252366,-0.203830841398977,-0.486643024908485,0.0715932510465985,-0.659021139999895,-0.410726748124341,-0.754179808417598,-0.937614792584999,0.0486861111207496,0.0827687534986895,-0.307111175249398,0.437672226067057,0.250012901734277,-0.323888240857842,0.435552697532274,0.116258377536744
"Vulpes_vulpes",-2.29709414071125,-11.6260668003118,-5.21113055550372,4.53128075723205,-0.0374263334005778,2.84641898215847,0.169347571473973,0.0914120977378367,1.14833598161639,0.373818891501729,-1.40320039990124,0.148366555815303,-0.248207744347387,0.688848622702991,-0.955405346080449,-0.933330240642465,0.931270852712025,0.384837278911095,0.596488464151256,-0.622653949121267,0.877286112302926,-0.292371113330445,0.103782619939471,-0.99016727913691,-1.47614675075753,-0.0571415747797273,0.257122720329631,0.00954329425213429,0.0203586266583594,-0.443004993922263,-0.711006405115037,-0.154147974616172,0.564482849436656,0.513841038753593,0.563894467219621
"Vulpes_zerda",-8.00529047592871,-2.06609947298715,-1.46147773902782,4.20278270887932,0.433999751153513,2.79218296992093,0.087174937982007,1.2993849041696,-0.38706295561027,0.440324350222489,-0.687345027438518,-1.59552680882009,1.45406126401148,-1.45383009435281,-0.964163526439018,-1.8620603610796,0.0807840101802428,0.980164880819054,0.327390497643495,-0.0496521677244923,-0.341322452158339,-0.223231469530306,-0.613941385761777,-0.0897450669439898,-0.894005532378844,0.648314052675641,-0.340474794712949,0.149168639457404,-0.353778182587043,-0.124309169609642,0.035415580607987,0.0297955264882979,-0.262370582702838,0.60449413477088,0.145885560114784
