#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:sequence-5" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:sequence-5" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:sequence-5" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sequence-5" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:sequence-5" name="distribution" x="@birthRate.t:sequence-5">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:sequence-5" name="distribution">
#            <parameter id="ucldStdev.c:sequence-5" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sequence-5" id="treeLikelihood.sequence-5" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequence-5">
#            <siteModel id="SiteModel.s:sequence-5" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence-5" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence-5" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence-5" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence-5" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:sequence-5" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence-5">
#                <LogNormal S="@ucldStdev.c:sequence-5" id="LogNormalDistributionModel.c:sequence-5" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="28" id="rateCategories.c:sequence-5" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:sequence-5" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
33000	-63740.26134196569	-63754.73289461526	14.471552649572809	-63754.73289461526	0.21398765184713023	14.598370094094669	10.570928651458289	0.2801917402959001	0.9346364413644673	0.05735559095941315	0.2565483658799234
34000	-63740.83920179499	-63755.81211664218	14.972914847190873	-63755.81211664218	0.21398765184713023	15.05505024910429	7.893636785093493	0.2697834875696661	0.9476139095780018	0.06052318712408109	0.2575617044396167
35000	-63740.62077101493	-63755.35291326856	14.732142253629553	-63755.35291326856	0.2244611579666465	14.78306046661973	6.914804996121473	0.2626040828854162	0.9500667866729761	0.048887543734169855	0.23166467937024662
36000	-63732.56533609803	-63748.214485705	15.649149606974483	-63748.214485705	0.20325738352499648	15.739220600533418	9.547031700989283	0.2716207467061492	1.0150249648242204	0.06496111826598289	0.26366170615638257
37000	-63728.33274368055	-63744.72576067567	16.393016995121283	-63744.72576067567	0.18950320084230884	16.247381315864963	9.617833951460964	0.21925856386961717	1.0544360194212996	0.03117755485849706	0.17227294545575367
38000	-63735.540414944226	-63751.96842429287	16.428009348641567	-63751.96842429287	0.1894106731480663	16.6033133515664	7.5557631284099225	0.2916572171420617	1.0715997747942707	0.07128443595666882	0.2679279851257502
39000	-63731.514840587195	-63747.479200877235	15.964360290039865	-63747.479200877235	0.19516419018401016	16.193058223568517	7.845063972861025	0.3044820292464563	1.060786053416913	0.06290420815066089	0.24401879481551506
40000	-63739.507562603525	-63755.78200191892	16.27443931539287	-63755.78200191892	0.19516419018401016	16.34683588481871	7.250396320208678	0.26753547155721025	1.0634179318665786	0.05081839933765674	0.21329341590772896
41000	-63735.725332984446	-63751.636567413516	15.911234429073275	-63751.636567413516	0.19286063322487532	16.041974396365585	10.985901450499982	0.28111274679256326	1.0244735376588625	0.05424526252878136	0.2331745466292476
42000	-63730.30181008683	-63746.70961351823	16.407803431398353	-63746.70961351823	0.19079155525091468	16.143167926989513	10.78330299000076	0.19469963431399645	1.0335160632638707	0.04088119040985876	0.19944228395644847
43000	-63733.45950088061	-63750.548993009914	17.08949212930326	-63750.548993009914	0.1863087529826033	16.82920372362181	9.84665439209899	0.19557291970477647	1.030561694984004	0.027933491514781254	0.16792191199528841
44000	-63733.26814255365	-63749.917622639114	16.64948008546251	-63749.917622639114	0.18556725563479673	16.416197668343077	9.612875657356282	0.20103939121514194	1.0066601853700914	0.024976941701957325	0.1571882431954341
45000	-63739.18770700807	-63755.66271193165	16.475004923573852	-63755.66271193165	0.18465886016185235	16.045431143598222	8.05338884524681	0.16297859276621132	1.0226270127782378	0.021526011864006805	0.13984571455698688
46000	-63747.82061502951	-63763.11263924972	15.292024220209866	-63763.11263924972	0.1902319237417274	14.565722043397983	5.109847965330882	0.11341173873278684	1.0004231360499494	0.00973341666670837	0.09808612161514642
47000	-63744.17603599552	-63760.962181808165	16.786145812645298	-63760.962181808165	0.18565115820645603	15.87581726058216	6.622731964433518	0.0879123784143208	1.0034450259386747	0.0064543278396579605	0.08092450886887768
