SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	ymin.r2.M3	ymin.i.M3	ymin.r.M3	ymin.e.M3	ymin.f.M3	ymin.c.M3	ymin.vc.M3	ymax.r2.M3	ymax.i.M3	ymax.r.M3	ymax.e.M3	ymax.f.M3	ymax.c.M3	ymax.vc.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	ymin.r2.M2	ymin.i.M2	ymin.r.M2	ymin.e.M2	ymin.f.M2	ymin.c.M2	ymin.vc.M2	ymax.r2.M2	ymax.i.M2	ymax.r.M2	ymax.e.M2	ymax.f.M2	ymax.c.M2	ymax.vc.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1	ymin.r2.M1	ymin.i.M1	ymin.r.M1	ymin.e.M1	ymin.f.M1	ymin.c.M1	ymin.vc.M1	ymax.r2.M1	ymax.i.M1	ymax.r.M1	ymax.e.M1	ymax.f.M1	ymax.c.M1	ymax.vc.M1
40	0.514778798	0.914743424	1.20221813	0.557310084	0.417845832	0.022883349	0.565860816	0.409496323	0.886876344	0.633397451	0.333865417	0.35590585	0.01705263	0.45250476	0.620061272	0.942610504	1.771038809	0.780754752	0.479785814	0.028714068	0.679216872	0.183852523	0.833736198	0.861389299	0.560540989	0.636782736	0.076939751	0.20793405	0.120660027	0.785507571	0.616744883	0.425556777	0.58208161	0.059190702	0.144123924	0.247045019	0.881964826	1.106033714	0.695525201	0.691483861	0.094688801	0.271744176	0.10431872	0.77811005	0.780733317	0.579095015	0.701086699	0.11275692	0.11489429	0.080462239	0.722444095	0.592829746	0.453116446	0.651770194	0.086470849	0.088603111	0.128175201	0.833776005	0.968636887	0.705073584	0.750403204	0.139042991	0.141185468
41	0.508875362	0.917586833	1.210745376	0.551245586	0.417127752	0.023667316	0.55848519	0.404913481	0.891822311	0.740242579	0.354360732	0.361327093	0.018219946	0.447523616	0.612837243	0.943351355	1.681248173	0.748130439	0.472928412	0.029114687	0.669446764	0.185230242	0.829532016	0.849573716	0.560323373	0.636137117	0.076701035	0.208210284	0.112487163	0.785647166	0.629426375	0.438293174	0.571782956	0.05829263	0.133997737	0.257973321	0.873416866	1.069721058	0.682353573	0.700491278	0.095109439	0.282422831	0.103877937	0.774058379	0.775501376	0.566776075	0.704179066	0.113949582	0.116325382	0.07718961	0.715423053	0.589445354	0.460946835	0.657048155	0.086759198	0.089337569	0.130566264	0.832693706	0.961557399	0.672605315	0.751309977	0.141139967	0.143313196
42	0.50870714	0.915063842	1.232449852	0.569849759	0.412392953	0.023616112	0.560790887	0.404697601	0.8821618	0.66132989	0.350522358	0.366033634	0.018521395	0.456609426	0.612716678	0.947965884	1.803569814	0.789177159	0.458752271	0.028710828	0.664972349	0.185989344	0.833949707	0.857160067	0.568762579	0.637143254	0.078864928	0.214207307	0.117058982	0.792381065	0.619452038	0.444978122	0.583675291	0.061517732	0.137329207	0.254919707	0.875518348	1.094868096	0.692547035	0.690611217	0.096212124	0.291085408	0.103850025	0.772649075	0.771272945	0.563558422	0.698214347	0.115214964	0.116042556	0.074880908	0.709712454	0.608333646	0.448289029	0.652110744	0.090427041	0.086788362	0.132819142	0.835585697	0.934212243	0.678827815	0.744317951	0.140002887	0.145296749
43	0.503276791	0.916541871	1.232233344	0.547031149	0.410015477	0.023994794	0.553664599	0.411678605	0.887096401	0.676300141	0.361617365	0.35547065	0.017979876	0.448347186	0.594874976	0.945987341	1.788166547	0.732444933	0.464560304	0.030009713	0.658982013	0.184878621	0.829731939	0.858487882	0.56018877	0.635754223	0.0784286	0.205262741	0.117285292	0.780521646	0.62338	0.449227535	0.590327326	0.060252855	0.14004213	0.252471949	0.878942232	1.093595764	0.671150004	0.681181121	0.096604346	0.270483352	0.103075772	0.768006427	0.779106067	0.561918611	0.707178704	0.117210951	0.115977948	0.076214587	0.702091176	0.588036371	0.463897804	0.661717595	0.089982155	0.088988198	0.129936956	0.833921677	0.970175763	0.659939418	0.752639813	0.144439747	0.142967699
44	0.501690402	0.913784053	1.167203067	0.554536324	0.41944769	0.023657205	0.561383456	0.394837637	0.885399489	0.703824004	0.346370003	0.363326261	0.018638246	0.454752614	0.608543167	0.942168616	1.63058213	0.762702644	0.475569119	0.028676165	0.668014299	0.182421383	0.831956212	0.846637075	0.562520144	0.638040687	0.078866023	0.210703836	0.127034956	0.788615256	0.615769445	0.445450148	0.585825437	0.0594894	0.135275668	0.237807809	0.875297168	1.077504705	0.679590139	0.690255937	0.098242645	0.286132004	0.101857036	0.772684167	0.778172948	0.560891993	0.698359876	0.116774841	0.116446694	0.076579767	0.714587238	0.589449685	0.460187063	0.656202839	0.09068607	0.088222856	0.127134306	0.830781096	0.966896211	0.661596923	0.740516914	0.142863612	0.144670532
45	0.508957919	0.914022491	1.192529074	0.555233161	0.41684512	0.024310941	0.559537586	0.398930686	0.887738391	0.675439219	0.369097916	0.361014952	0.018591213	0.444214262	0.618985152	0.940306591	1.709618928	0.741368407	0.472675289	0.030030669	0.674860909	0.1829253	0.828626053	0.871439657	0.560714352	0.634890411	0.080342535	0.206873868	0.121501282	0.780301222	0.65908602	0.458098861	0.58066062	0.063146881	0.135133875	0.244349318	0.876950884	1.083793293	0.663329844	0.689120202	0.097538189	0.278613861	0.102374043	0.770994454	0.774241584	0.570488349	0.707844582	0.115136029	0.114451362	0.076423543	0.71435255	0.60140984	0.472559435	0.662819103	0.090192849	0.090963306	0.128324543	0.827636358	0.947073329	0.668417262	0.752870062	0.140079209	0.137939417
46	0.507706176	0.914426317	1.203797264	0.540704578	0.413199474	0.024667481	0.572152098	0.411632029	0.887608314	0.670106781	0.357181728	0.368597099	0.018880077	0.471219489	0.603780322	0.94124432	1.737487748	0.724227429	0.457801849	0.030454885	0.673084708	0.18989592	0.827532893	0.846080505	0.565055806	0.635122352	0.079719911	0.206342458	0.121608202	0.782001502	0.607048195	0.456155576	0.578882762	0.062247818	0.139770207	0.258183638	0.873064284	1.085112816	0.673956037	0.691361943	0.097192004	0.272914709	0.101009796	0.767111393	0.778616726	0.568867967	0.708301137	0.11608863	0.115197428	0.078243667	0.710103487	0.578775377	0.455059373	0.658096312	0.093338523	0.086488036	0.123775926	0.824119299	0.978458075	0.682676561	0.758505963	0.138838737	0.143906819
47	0.50215623	0.911372507	1.214194437	0.557109192	0.415166094	0.024595629	0.548847835	0.405170077	0.883633618	0.753295478	0.375258335	0.362283998	0.019415386	0.442921065	0.599142384	0.939111396	1.675093396	0.738960049	0.46804819	0.029775872	0.654774605	0.182056113	0.824130255	0.847033857	0.563790505	0.639614934	0.08105632	0.205465566	0.117565193	0.777796274	0.654639105	0.44082041	0.579048691	0.061927277	0.142105012	0.246547033	0.870464236	1.039428608	0.6867606	0.700181176	0.100185363	0.268826119	0.102197888	0.761776651	0.773895245	0.558782867	0.70627323	0.116457926	0.113599474	0.07944021	0.70436414	0.59214769	0.456958754	0.659552761	0.091887425	0.088302198	0.124955566	0.819189162	0.955642799	0.66060698	0.752993698	0.141028426	0.138896751
48	0.498828599	0.909112334	1.257734539	0.552443158	0.416319521	0.024316959	0.561571686	0.412406557	0.876397951	0.703541042	0.371252205	0.359475903	0.019627076	0.46203797	0.585250642	0.941826718	1.811928036	0.733634111	0.473163139	0.029006843	0.661105401	0.181309523	0.825436863	0.868473992	0.564513405	0.635546883	0.081261363	0.201262574	0.125241721	0.782086207	0.636378944	0.461693542	0.581057916	0.065002212	0.139642799	0.237377325	0.868787519	1.100569041	0.667333268	0.690035849	0.097520514	0.262882349	0.101477047	0.762468889	0.770391679	0.569295308	0.709850297	0.118654072	0.113158906	0.07798816	0.703435304	0.590227459	0.466484542	0.661212232	0.091931394	0.089819636	0.124965935	0.821502474	0.950555899	0.672106075	0.758488362	0.145376751	0.136498175
49	0.500464561	0.913584202	1.253160422	0.547632586	0.416675838	0.02478108	0.563511538	0.41236246	0.88516745	0.713428751	0.383088826	0.363236933	0.01941492	0.472253312	0.588566662	0.942000955	1.792892094	0.712176346	0.470114742	0.03014724	0.654769763	0.182247864	0.826027973	0.855201588	0.558161182	0.642575377	0.081401452	0.202618752	0.128905302	0.776495078	0.60106471	0.426764872	0.593203836	0.06543558	0.146139347	0.235590426	0.875560869	1.109338466	0.689557491	0.691946919	0.097367323	0.259098156	0.103119008	0.766008501	0.745987231	0.56446836	0.709666527	0.120099721	0.113044492	0.078282901	0.709085642	0.58101091	0.455318401	0.66013331	0.095718521	0.087664084	0.127955116	0.82293136	0.910963553	0.67361832	0.759199743	0.144480921	0.1384249
