SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1
39	0.010459197	0.000988466	0.065446827	0.036758526	0.005761181	0.059652929	0.010687813	0.044142893	0.003695504	0.038947455	0.015962237	0.003847022	0.072268266	0.051140155	0.087671351	0.008116767	0.024784807	0.013362292	0.003770028	0.061834339	0.073390829
40	0.01166012	0.000788163	0.051969134	0.039795523	0.005536346	0.071220094	0.010406656	0.03964861	0.003407086	0.025187913	0.014132478	0.003747527	0.060380478	0.034600858	0.065508281	0.008003307	0.018939754	0.012748306	0.003366034	0.063005967	0.062536226
41	0.010868036	0.000913276	0.035876948	0.030955	0.004633898	0.057923276	0.009744192	0.05196082	0.002750986	0.019605596	0.011570879	0.004472319	0.062081345	0.044496319	0.06811307	0.007287515	0.017912434	0.008598247	0.002889926	0.059826136	0.070103601
42	0.010881812	0.000899862	0.050448737	0.039206513	0.003916544	0.057707355	0.008644653	0.04825135	0.003203828	0.023462182	0.012062338	0.003629624	0.051580122	0.05371045	0.072244415	0.007246868	0.013785252	0.010217672	0.003617196	0.054604639	0.072272616
43	0.008270857	0.000915485	0.047928991	0.027678434	0.005425601	0.054973425	0.00882789	0.045630382	0.002969054	0.023205236	0.00959685	0.003385777	0.054172064	0.033733061	0.064637121	0.006527942	0.019306876	0.007428209	0.002485401	0.050321855	0.068535155
44	0.011231833	0.000749282	0.03950083	0.034711315	0.00450507	0.056916945	0.009093991	0.030772408	0.003018101	0.021181937	0.010686983	0.003440625	0.053435915	0.048319842	0.056388879	0.006980796	0.0187931	0.007874106	0.003441206	0.050864553	0.072621283
45	0.012208535	0.000726172	0.044657645	0.027789909	0.004688941	0.049768539	0.010596142	0.037198446	0.002814316	0.021408537	0.008225073	0.003998606	0.045478846	0.041095692	0.059862134	0.006564671	0.015692701	0.007479567	0.002399529	0.054953829	0.056926476
46	0.009309406	0.000755858	0.046329161	0.027655546	0.003597493	0.045381706	0.008863568	0.052371653	0.002594607	0.0226025	0.009300075	0.004089862	0.048200192	0.035885348	0.048798446	0.00584965	0.020846234	0.010040896	0.002577985	0.05098697	0.06767071
47	0.009293467	0.000625468	0.034516505	0.026609419	0.004445724	0.044528059	0.009147631	0.039841331	0.002280891	0.015241025	0.011843595	0.00376667	0.044494488	0.032415404	0.053906407	0.004956325	0.017109288	0.008150178	0.002641249	0.050915497	0.05578925
48	0.007387745	0.000625708	0.047047739	0.026434353	0.004913341	0.046866445	0.00797494	0.030678057	0.002304414	0.024244192	0.008302692	0.00392505	0.041215883	0.028246368	0.051921199	0.005160966	0.016446466	0.008229593	0.002355145	0.04614764	0.051406234
